sampling_method,case,quantity,stored_legacy_value,stored_transformed_sensor_value,image_derived_value,sensor_minus_image,physical_discrepancy_m_or_intensity,tolerance,absolute_discrepancy_in_tolerance_units
bilinear_intensity,camera_y_plus_0p02_mm,centroid_x_px,69.71303940980016,56.98576668252743,57.03665913032018,-0.050892447792755036,-2.799084628601527e-07,1.0,0.050892447792755036
bilinear_intensity,camera_y_plus_0p02_mm,centroid_y_px,62.974535963006296,66.61089959936993,66.58659569624986,0.024303903120070913,1.3367146716039e-07,1.0,0.024303903120070913
bilinear_intensity,camera_y_plus_0p02_mm,sigma_x_px,36.660200161281224,36.660200161281224,36.37379234752122,0.28640781376000746,1.575242975680041e-06,2.0,0.14320390688000373
bilinear_intensity,camera_y_plus_0p02_mm,sigma_y_px,36.544274984564545,36.544274984564545,36.25877283624763,0.28550214831691534,1.5702618157430343e-06,2.0,0.14275107415845767
bilinear_intensity,camera_y_plus_0p02_mm,peak_intensity,1.066167200326207,1.066167200326207,1.066167200326207,0.0,0.0,0.053308360016310355,0.0
production_searchsorted,lens_x_plus_0p02_mm,centroid_x_px,67.94498692841157,55.21771420113884,55.282419558942436,-0.06470535780359654,-3.5587946791978096e-07,1.0,0.06470535780359654
production_searchsorted,lens_x_plus_0p02_mm,centroid_y_px,53.694330735451416,60.96705800817869,60.98684661748979,-0.019788609311099492,-1.088373512110472e-07,1.0,0.019788609311099492
production_searchsorted,lens_x_plus_0p02_mm,sigma_x_px,34.301383726375555,34.301383726375555,34.03340416601324,0.2679795603623134,1.4738875819927236e-06,2.0,0.1339897801811567
production_searchsorted,lens_x_plus_0p02_mm,sigma_y_px,33.907551400159406,33.907551400159406,33.64264865484565,0.2649027453137549,1.456965099225652e-06,2.0,0.13245137265687745
production_searchsorted,lens_x_plus_0p02_mm,peak_intensity,0.9226543566377056,0.9226543566377056,0.9226543566377056,0.0,0.0,0.04613271783188528,0.0
bilinear_intensity,lens_x_plus_0p02_mm,centroid_x_px,73.67852627674051,60.95125354946778,60.97116563111256,-0.019912081644783086,-1.0951644904630697e-07,1.0,0.019912081644783086
bilinear_intensity,lens_x_plus_0p02_mm,centroid_y_px,59.76307552901574,67.035802801743,67.00817934235438,0.02762345938862154,1.5192902663741847e-07,1.0,0.02762345938862154
bilinear_intensity,lens_x_plus_0p02_mm,sigma_x_px,36.59034474575123,36.59034474575123,36.30448267742505,0.2858620683261819,1.5722413757940002e-06,2.0,0.14293103416309094
bilinear_intensity,lens_x_plus_0p02_mm,sigma_y_px,36.60691643969123,36.60691643969123,36.32092490500615,0.2859915346850812,1.5729534407679466e-06,2.0,0.1429957673425406
bilinear_intensity,lens_x_plus_0p02_mm,peak_intensity,0.921281231349421,0.921281231349421,0.921281231349421,0.0,0.0,0.04606406156747105,0.0
production_searchsorted,lens_y_plus_0p02_mm,centroid_x_px,68.9812917941182,56.25401906684549,56.31062829288575,-0.056609226040265526,-3.113507432214604e-07,1.0,0.056609226040265526
production_searchsorted,lens_y_plus_0p02_mm,centroid_y_px,51.222157013154934,58.49488428588221,58.533986752398754,-0.03910246651654603,-2.1506356584100317e-07,1.0,0.03910246651654603
production_searchsorted,lens_y_plus_0p02_mm,sigma_x_px,36.39027846698625,36.39027846698625,36.10597941646292,0.28429905052333027,1.5636447778783165e-06,2.0,0.14214952526166513
production_searchsorted,lens_y_plus_0p02_mm,sigma_y_px,35.745477886362636,35.745477886362636,35.466216340375425,0.279261545987211,1.5359385029296603e-06,2.0,0.1396307729936055
production_searchsorted,lens_y_plus_0p02_mm,peak_intensity,1.0270866675354469,1.0270866675354469,1.0270866675354469,0.0,0.0,0.051354333376772344,0.0
bilinear_intensity,lens_y_plus_0p02_mm,centroid_x_px,69.71303940980012,56.985766682527384,57.03665913032014,-0.050892447792755036,-2.799084628601527e-07,1.0,0.050892447792755036
bilinear_intensity,lens_y_plus_0p02_mm,centroid_y_px,55.78981505783616,63.06254233056343,63.0659599686059,-0.003417638042471083,-1.8797009233590953e-08,1.0,0.003417638042471083
bilinear_intensity,lens_y_plus_0p02_mm,sigma_x_px,36.660200161281196,36.660200161281196,36.37379234752119,0.28640781376000746,1.575242975680041e-06,2.0,0.14320390688000373
bilinear_intensity,lens_y_plus_0p02_mm,sigma_y_px,36.40297895704528,36.40297895704528,36.118580683943364,0.2843982731019139,1.5641905020605265e-06,2.0,0.14219913655095695
bilinear_intensity,lens_y_plus_0p02_mm,peak_intensity,1.0240228095566686,1.0240228095566686,1.0240228095566686,0.0,0.0,0.05120114047783343,0.0
