episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_01_0000__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0000,53d5a34d39397c64f41b43da49a6cbf566798bd0fc69de6a29848bd92fa45d02,oracle_diagnosis,Q3,non_boundary,south_east,2.75,0.5,0.8,True,0.13827781660302207,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0000__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0000,53d5a34d39397c64f41b43da49a6cbf566798bd0fc69de6a29848bd92fa45d02,learned_image_diagnostic,Q3,non_boundary,south_east,2.75,0.5,0.8,True,0.13827781660302207,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0001__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0001,12050036cfb4b37c75343ef7feb0a8b8d248fe45f179d09f7dacedbc825980b1,no_diagnosis,Q4,non_boundary,south_east,2.75,0.4,0.8,False,38.09510233567801,6,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0001__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0001,12050036cfb4b37c75343ef7feb0a8b8d248fe45f179d09f7dacedbc825980b1,oracle_diagnosis,Q4,non_boundary,south_east,2.75,0.4,0.8,True,0.3280766605230383,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0001__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0001,12050036cfb4b37c75343ef7feb0a8b8d248fe45f179d09f7dacedbc825980b1,learned_image_diagnostic,Q4,non_boundary,south_east,2.75,0.4,0.8,True,0.3280766605230383,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0002__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0002,b74bf2acb82e5d862f822ae9cefc30a2ad216438dba430bc6f00e09beff68512,no_diagnosis,Q2,non_boundary,north,2.25,0.4,0.8,False,19.325937233438765,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0002__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0002,b74bf2acb82e5d862f822ae9cefc30a2ad216438dba430bc6f00e09beff68512,oracle_diagnosis,Q2,non_boundary,north,2.25,0.4,0.8,True,0.21637811688106012,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0002__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0002,b74bf2acb82e5d862f822ae9cefc30a2ad216438dba430bc6f00e09beff68512,learned_image_diagnostic,Q2,non_boundary,north,2.25,0.4,0.8,True,0.21637811688106012,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0003__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0003,c17629c987c4b4edc77e9c6c6af8d0d3c3f90fc712365eb88c038316a048a8e0,no_diagnosis,Q3,non_boundary,south_east,2.75,0.4,1.0,False,17.31015635277174,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0003__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0003,c17629c987c4b4edc77e9c6c6af8d0d3c3f90fc712365eb88c038316a048a8e0,oracle_diagnosis,Q3,non_boundary,south_east,2.75,0.4,1.0,True,0.9511027619735728,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0003__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0003,c17629c987c4b4edc77e9c6c6af8d0d3c3f90fc712365eb88c038316a048a8e0,learned_image_diagnostic,Q3,non_boundary,south_east,2.75,0.4,1.0,True,0.9511027619735728,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0004__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0004,0aaf319cb3a4d368b3818d65541c5cfc814e89466c46aaf1c5ef0311857c6043,no_diagnosis,Q4,non_boundary,east,2.25,0.4,0.8,False,53.650235123521725,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0004__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0004,0aaf319cb3a4d368b3818d65541c5cfc814e89466c46aaf1c5ef0311857c6043,oracle_diagnosis,Q4,non_boundary,east,2.25,0.4,0.8,True,0.6374784908368838,4,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0004__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0004,0aaf319cb3a4d368b3818d65541c5cfc814e89466c46aaf1c5ef0311857c6043,learned_image_diagnostic,Q4,non_boundary,east,2.25,0.4,0.8,False,53.650235123521725,4,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_01_0005__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0005,c27b6f4d5421e36a79b1269c952d9a6b1d5c97a5fa44d6ec62a50907a2c01be6,no_diagnosis,Q2,non_boundary,south,2.25,0.4,1.0,False,29.960848238425115,6,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0005__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0005,c27b6f4d5421e36a79b1269c952d9a6b1d5c97a5fa44d6ec62a50907a2c01be6,oracle_diagnosis,Q2,non_boundary,south,2.25,0.4,1.0,True,0.5905157015528175,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0005__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0005,c27b6f4d5421e36a79b1269c952d9a6b1d5c97a5fa44d6ec62a50907a2c01be6,learned_image_diagnostic,Q2,non_boundary,south,2.25,0.4,1.0,True,0.5905157015528175,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0006__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0006,904695a484b515d7a796fb93df43d4a7d281ff35cf565b214c3f040b45b173d9,no_diagnosis,Q2,non_boundary,east,2.75,0.5,0.8,False,25.87769200841302,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0006__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0006,904695a484b515d7a796fb93df43d4a7d281ff35cf565b214c3f040b45b173d9,oracle_diagnosis,Q2,non_boundary,east,2.75,0.5,0.8,True,0.25202539325766793,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0006__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_01_0006,904695a484b515d7a796fb93df43d4a7d281ff35cf565b214c3f040b45b173d9,learned_image_diagnostic,Q2,non_boundary,east,2.75,0.5,0.8,True,0.25202539325766793,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0007__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0007,9cc9f2f778c56af9b552de233bd3b5fd64447a327016f2ce7f5126172d7fce5f,no_diagnosis,Q4,non_boundary,south,2.75,0.4,0.8,False,41.33360050384243,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_01_0007__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0007,9cc9f2f778c56af9b552de233bd3b5fd64447a327016f2ce7f5126172d7fce5f,oracle_diagnosis,Q4,non_boundary,south,2.75,0.4,0.8,True,0.7684112727589536,1,0,0,True,False
