sweep_id,sampling_method,position_field,axis,requested_position_mm,effective_position_mm,displacement_from_reference_mm,step_mm,declared_sensor_pitch_mm,constructed_sensor_coordinate_step_mm,simulation_grid_pitch_mm,selected_center_index,selected_index_min,selected_index_max,selected_index_unique_count,selected_index_signature,center_sensor_coordinate_mm,center_fractional_grid_index,index_boundary_crossed,captured_power,image_sum,image_max,stored_centroid_x_px,sensor_frame_centroid_x_px,image_derived_centroid_x_px,stored_centroid_y_px,sensor_frame_centroid_y_px,image_derived_centroid_y_px,stored_sigma_x_px,sensor_frame_sigma_x_px,image_derived_sigma_x_px,stored_sigma_y_px,sensor_frame_sigma_y_px,image_derived_sigma_y_px,stored_peak_intensity,sensor_frame_peak_intensity,image_derived_peak_intensity,delta_centroid_x_px,tolerance_normalized_delta_centroid_x_px,derivative_centroid_x_px_per_mm,delta_centroid_y_px,tolerance_normalized_delta_centroid_y_px,derivative_centroid_y_px_per_mm,delta_sigma_x_px,tolerance_normalized_delta_sigma_x_px,derivative_sigma_x_px_per_mm,delta_sigma_y_px,tolerance_normalized_delta_sigma_y_px,derivative_sigma_y_px_per_mm,delta_peak_intensity,tolerance_normalized_delta_peak_intensity,derivative_peak_intensity_per_mm,max_tolerance_normalized_delta,exact_image_plateau,raw_image_relative_l1_change,normalized_image_mean_abs_change,normalized_image_relative_l2_change,exact_metric_plateau,requested_action_json,effective_action_json
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.996,2.996,0.005999999999999783,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,0029f9c1916154c4,2.998752688172043,562.6287333333457,True,5.016056672437701e-07,16582.00552871967,6.690509729299775,616.8527515979175,72.12547887064477,72.55455555143504,504.41398623518165,504.41398623518165,504.4209061704988,88.86061168366963,88.86061168366963,88.7738337425723,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,-0.03567125809377103,0.03567125809377103,-71.34251618754212,0.0,0.0,0.0,-0.087546473024247,0.0437732365121235,-175.09294604849416,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.0437732365121235,False,0.0007488086439320579,1.771226536165635e-06,0.005420599855850097,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.005999999999999999, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.005999999999999999, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9965,2.9965,0.00649999999999995,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,ee3f5bc3ecb43193,2.999252688172043,562.6372583333458,True,5.002063992276321e-07,16535.748734797755,6.690509729299775,616.582338814207,71.76415699602518,72.19358653020879,504.41398623518165,504.41398623518165,504.4209061704988,88.71505070280251,88.71505070280251,88.62841491110053,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,-0.27041278371052613,0.27041278371052613,-540.8255674210527,0.0,0.0,0.0,-0.145560980867117,0.0727804904335585,-291.1219617342342,-1.4210854715202004e-14,7.105427357601002e-15,-2.842170943040403e-11,0.0,0.0,0.0,0.27041278371052613,False,0.002789577764993484,6.5935060417652806e-06,0.01790034552967749,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.0065, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.0065, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9970000000000003,2.9970000000000003,0.007000000000000117,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,4192ac3408af9706,2.9997526881720438,562.6457833333458,True,5.001430280133137e-07,16533.65381862194,6.690509729299775,616.6744767197268,71.76538581063585,72.19481414480526,504.41398623518165,504.41398623518165,504.4209061704988,88.72568263494145,88.72568263494145,88.63903646049326,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.09213790551984857,0.09213790551984857,184.2758110396973,0.0,0.0,0.0,0.010631932138934985,0.005315966069467493,21.26386427786999,0.0,0.0,0.0,0.0,0.0,0.0,0.09213790551984857,False,0.0001476080113751798,3.4791621814535816e-07,0.0008862467029075566,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.007, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.007, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9975,2.9975,0.00749999999999984,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,fc27af4c0e35fea9,3.0002526881720435,562.6543083333457,True,4.929501471938768e-07,16295.872634508327,6.690509729299775,617.5580506685504,72.55805066855038,72.98670491594447,504.41398623518165,504.41398623518165,504.4209061704988,89.11129631832084,89.11129631832084,89.02427356800997,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.8835739488235959,0.8835739488235959,1767.1478976471933,0.0,0.0,0.0,0.3856136833793897,0.19280684168969486,771.2273667587801,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.8835739488235959,False,0.014381647681881313,3.389365196208318e-05,0.10260846832430355,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.007500000000000001, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.007500000000000001, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.998,2.998,0.008000000000000007,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,67311bb7f86078ec,3.000752688172043,562.6628333333458,True,4.943533927540361e-07,16342.260917488798,6.690509729299775,617.9342838247218,72.84337473381265,73.2717503444241,504.41398623518165,504.41398623518165,504.4209061704988,89.12391659278299,89.12391659278299,89.03688151798535,120.80978564386737,120.80978564386737,120.69180733757455,6.690509729299775,6.690509729299775,6.690509729299775,0.3762331561713381,0.3762331561713381,752.4663123426769,0.0,0.0,0.0,0.01262027446215086,0.00631013723107543,25.24054892430174,-1.4210854715202004e-14,7.105427357601002e-15,-2.842170943040403e-11,0.0,0.0,0.0,0.3762331561713381,False,0.00662526808992084,1.5389409582522362e-05,0.03919220958844593,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.008, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.008, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9985000000000004,2.9985000000000004,0.008500000000000174,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,d7e4488ec7e47dff,3.0012526881720434,562.6713583333458,True,4.946673258154651e-07,16352.638869932734,6.690509729299775,618.0840676324403,72.90224945062215,73.33056756639297,504.41398623518165,504.41398623518165,504.4209061704988,89.12299997479086,89.12299997479086,89.03596579512798,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.14978380771856337,0.14978380771856337,299.56761543712696,0.0,0.0,0.0,-0.0009166179921322737,0.00045830899606613684,-1.833235984264549,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.14978380771856337,False,0.0008377855815489774,1.951577947508449e-06,0.005759447861202418,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.0085, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.0085, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.999,2.999,0.008999999999999897,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,16378b11821a95a4,3.0017526881720435,562.6798833333459,True,4.945342082402199e-07,16348.238288932891,6.690509729299775,618.1712214229468,72.8984941502195,73.3268159332759,504.41398623518165,504.41398623518165,504.4209061704988,89.12865870990545,89.12865870990545,89.04161900413405,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.08715379050647698,0.08715379050647698,174.3075810129541,0.0,0.0,0.0,0.005658735114593583,0.0028293675572967913,11.317470229187174,-1.4210854715202004e-14,7.105427357601002e-15,-2.842170943040403e-11,0.0,0.0,0.0,0.08715379050647698,False,0.0002691052517482806,6.272647745262074e-07,0.0017158273742642633,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009000000000000001, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009000000000000001, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9995000000000003,2.9995000000000003,0.009500000000000064,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,448dae94210d1a14,3.0022526881720437,562.6884083333458,True,4.890676998968507e-07,16167.52726931738,6.690509729299775,618.8625329626929,73.49889659905637,73.92663205159653,504.41398623518165,504.41398623518165,504.4209061704988,89.33603674648128,89.33603674648128,89.24879452309604,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.6913115397460388,0.6913115397460388,1382.6230794920787,0.0,0.0,0.0,0.20737803657583243,0.10368901828791621,414.7560731516652,0.0,0.0,0.0,0.0,0.0,0.0,0.6913115397460388,False,0.011053852801854988,2.575879343604789e-05,0.06416113049127452,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009500000000000001, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009500000000000001, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,3.0,3.0,0.009999999999999787,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,6f0760c0f45add6c,3.0027526881720434,562.6969333333458,True,4.887165821264637e-07,16155.92007029632,6.690509729299775,618.7640037582121,73.3094583036667,73.73737875454191,504.41398623518165,504.41398623518165,504.4209061704988,89.16143497636992,89.16143497636992,89.0743632625258,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,-0.0985292044807693,0.0985292044807693,-197.05840896153876,0.0,0.0,0.0,-0.1746017701113658,0.0873008850556829,-349.2035402227319,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.0985292044807693,False,0.006094600455664516,1.4045258026500567e-05,0.033789073312488906,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009999999999999998, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009999999999999787, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,3.0005,3.0,0.009999999999999787,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,6f0760c0f45add6c,3.0027526881720434,562.6969333333458,False,4.887165821264637e-07,16155.92007029632,6.690509729299775,618.7640037582121,73.3094583036667,73.73737875454191,504.41398623518165,504.41398623518165,504.4209061704988,89.16143497636992,89.16143497636992,89.0743632625258,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,True,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.010499999999999999, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009999999999999787, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,3.0010000000000003,3.0,0.009999999999999787,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,6f0760c0f45add6c,3.0027526881720434,562.6969333333458,False,4.887165821264637e-07,16155.92007029632,6.690509729299775,618.7640037582121,73.3094583036667,73.73737875454191,504.41398623518165,504.41398623518165,504.4209061704988,89.16143497636992,89.16143497636992,89.0743632625258,120.80978564386739,120.80978564386739,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,True,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.011, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": 0.009999999999999787, ""camera_y_delta_mm"": 0.0}"
